order_book_id,industry_code,market_tplus,symbol,special_type,exchange,status,type,de_listed_date,listed_date,sector_code_name,abbrev_symbol,sector_code,round_lot,trading_hours,board_type,industry_name,issue_price,trading_code,office_address,province,purchasedate
000001.XSHE,J66,1,平安银行,Normal,XSHE,Active,CS,0000-00-00,1991-04-03,金融,PAYH,Financials,100.0,"09:31-11:30,13:01-15:00",MainBoard,货币金融服务,40.0,000001,中国广东省深圳市深南东路5047号;中国广东省深圳市福田区益田路5023号平安金融中心B座,广东省,
000002.XSHE,K70,1,万科A,Normal,XSHE,Active,CS,0000-00-00,1991-01-29,房地产,WKA,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,1.0,000002,深圳市福田区梅林路63号万科大厦,广东省,
000003.XSHE,Unknown,1,PT金田A,PT,XSHE,Delisted,CS,2002-06-14,1991-07-03,未知,PTJTA,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,10.0,000003,深圳市罗湖区嘉宾路深华商业大厦19楼1909,广东省,
000004.XSHE,I65,1,国华网安,Normal,XSHE,Active,CS,0000-00-00,1990-12-01,医疗保健,GHWA,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,1.0,000004,深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,广东省,
000005.XSHE,Unknown,1,ST星源,Other,XSHE,Delisted,CS,2024-04-26,1990-12-10,未知,STXY,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,10.0,000005,深圳市罗湖区深南东路2017号华乐大厦3F,广东省,
000006.XSHE,K70,1,深振业A,Normal,XSHE,Active,CS,0000-00-00,1992-04-27,房地产,SZYA,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,10.0,000006,深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,
000007.XSHE,K70,1,全新好,Normal,XSHE,Active,CS,0000-00-00,1992-04-13,房地产,QXH,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,1.0,000007,深圳市福田区梅林街道梅康路8号理想时代大厦6楼,广东省,
000008.XSHE,C37,1,神州高铁,Normal,XSHE,Active,CS,0000-00-00,1992-05-07,工业,SZGT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,铁路、船舶、航空航天和其他运输设备制造业,7.9,000008,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,北京市,
000009.XSHE,S90,1,中国宝安,Normal,XSHE,Active,CS,0000-00-00,1991-06-25,工业,ZGBA,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,综合,3.0,000009,深圳市笋岗东路1002号宝安广场A座28-29层,广东省,
000010.XSHE,E48,1,美丽生态,Normal,XSHE,Active,CS,0000-00-00,1995-10-27,工业,MLST,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,土木工程建筑业,1.0,000010,深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座1701-1703室,广东省,
000011.XSHE,K70,1,深物业A,Normal,XSHE,Active,CS,0000-00-00,1992-03-30,房地产,SWYA,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,3.6,000011,深圳市罗湖区人民南路国贸大厦16层、20层、39层、42层,广东省,
000012.XSHE,C30,1,南玻A,Normal,XSHE,Active,CS,0000-00-00,1992-02-28,原材料,NBA,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,非金属矿物制品业,3.38,000012,深圳市蛇口工业六路一号南玻大厦,广东省,
000013.XSHE,Unknown,1,*ST石化A,StarST,XSHE,Delisted,CS,2004-09-20,1992-05-06,未知,*STSHA,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,2.8,000013,深圳市福田区新城大厦西座303,广东省,
000014.XSHE,K70,1,沙河股份,Normal,XSHE,Active,CS,0000-00-00,1992-06-02,房地产,SHGF,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,2.38,000014,深圳市南山区白石路2222号沙河世纪楼,广东省,
000015.XSHE,Unknown,1,PT中浩A,PT,XSHE,Delisted,CS,2001-10-22,1992-06-25,未知,PTZHA,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,2.78,000015,深圳市大鹏新区葵涌街道迅宝循环经济园二期研发大楼,广东省,
000016.XSHE,C39,1,深康佳A,Normal,XSHE,Active,CS,0000-00-00,1992-03-27,非必须消费品,SKJA,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,3.9,000016,深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,广东省,
000017.XSHE,C37,1,深中华A,Normal,XSHE,Active,CS,0000-00-00,1992-03-31,非必须消费品,SZHA,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,铁路、船舶、航空航天和其他运输设备制造业,3.75,000017,深圳市罗湖区翠竹街道贝丽北路89号水贝金座大厦8楼,广东省,
000018.XSHE,Unknown,1,神城A退,Other,XSHE,Delisted,CS,2020-01-07,1992-06-16,未知,SCAT,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,1.5,000018,四川省内江市东兴区汉安大道东二段256号3层1号,四川省,
000019.XSHE,F51,1,深粮控股,Normal,XSHE,Active,CS,0000-00-00,1992-10-12,必需消费品,SLKG,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,2.1,000019,深圳市福田区福虹路9号世贸广场A座13楼,广东省,
000020.XSHE,C39,1,深华发A,Normal,XSHE,Active,CS,0000-00-00,1992-04-28,信息技术,SHFA,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,1.9,000020,深圳市福田区华发北路411栋华发大厦东座六楼,广东省,
000021.XSHE,C39,1,深科技,Normal,XSHE,Active,CS,0000-00-00,1994-02-02,信息技术,SKJ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,4.65,000021,深圳市福田区彩田路7006号,广东省,
000022.XSHE,G55,1,深赤湾A,Other,XSHE,Delisted,CS,2018-12-26,1993-05-05,工业,SCWA,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,水上运输业,3.1,000022,,,
000023.XSHE,Unknown,1,*ST深天,StarST,XSHE,Delisted,CS,2024-09-02,1993-04-29,未知,*STST,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,3.1,000023,深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,广东省,
000024.XSHE,Unknown,1,招商地产,Normal,XSHE,Delisted,CS,2015-12-30,1993-06-07,未知,ZSDC,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,3.4,000024,深圳南山区蛇口兴华路6号南海意库3号楼,广东省,
000025.XSHE,F51,1,特力A,Normal,XSHE,Active,CS,0000-00-00,1993-06-21,非必须消费品,TLA,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,4.18,000025,深圳市罗湖区水贝二路五十六号特力大厦三楼、四楼,广东省,
000026.XSHE,F52,1,飞亚达,Normal,XSHE,Active,CS,0000-00-00,1993-06-03,非必须消费品,FYD,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,3.6,000026,深圳市南山区高新南一道飞亚达科技大厦20楼,广东省,
000027.XSHE,D44,1,深圳能源,Normal,XSHE,Active,CS,0000-00-00,1993-09-03,公用事业,SZNY,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,电力、热力生产和供应业,3.5,000027,"深圳市福田区金田路2026号能源大厦北塔楼9,29-31,34-41层",广东省,
000028.XSHE,F51,1,国药一致,Normal,XSHE,Active,CS,0000-00-00,1993-08-09,医疗保健,GYYZ,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,3.5,000028,广东省深圳市福田区园岭街道八卦四路15号一致药业大厦,广东省,
000029.XSHE,K70,1,深深房A,Normal,XSHE,Active,CS,0000-00-00,1993-09-15,房地产,SSFA,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,3.8,000029,深圳市罗湖区人民南路深房广场47层,广东省,
000030.XSHE,C36,1,富奥股份,Normal,XSHE,Active,CS,0000-00-00,1993-09-29,非必须消费品,FAGF,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,4.55,000030,吉林省长春市高新区学海街701号,吉林省,
000031.XSHE,K70,1,大悦城,Normal,XSHE,Active,CS,0000-00-00,1993-10-08,房地产,DYC,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,4.38,000031,深圳市宝安区留仙一路8号中粮创芯研发中心A1栋27楼;北京市朝阳区朝阳门南大街8号中粮福临门大厦13层,广东省,
000032.XSHE,E49,1,深桑达A,Normal,XSHE,Active,CS,0000-00-00,1993-10-28,信息技术,SSDA,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,建筑安装业,3.36,000032,深圳市南山区科技园科技路1号桑达科技大厦15-17层,广东省,
000033.XSHE,Unknown,1,新都退,Other,XSHE,Delisted,CS,2017-07-07,1994-01-03,未知,XDT,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,3.15,000033,深圳市罗湖区南湖街道春风路4001号新都酒店三层,广东省,
000034.XSHE,F51,1,神州数码,Normal,XSHE,Active,CS,0000-00-00,1994-05-09,信息技术,SZSM,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,5.2,000034,北京市海淀区上地九街九号数码科技广场,广东省,
000035.XSHE,N77,1,中国天楹,Normal,XSHE,Active,CS,0000-00-00,1994-04-08,工业,ZGTY,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,生态保护和环境治理业,3.9,000035,江苏省海安市黄海大道(西)268号,江苏省,
000036.XSHE,K70,1,华联控股,Normal,XSHE,Active,CS,0000-00-00,1994-06-17,房地产,HLKG,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,2.6,000036,深圳市福田区深南中路2008号华联大厦16层,广东省,
000037.XSHE,D44,1,深南电A,Normal,XSHE,Active,CS,0000-00-00,1994-07-01,公用事业,SNDA,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,电力、热力生产和供应业,4.6,000037,深圳市南山区华侨城汉唐大厦16、17楼,广东省,
000038.XSHE,Unknown,1,大通退,Other,XSHE,Delisted,CS,2023-07-12,1994-08-08,未知,DTT,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,3.68,000038,深圳市南山区南头街道大汪山社区桃园路8号田厦金牛广场A座3906,广东省,
000039.XSHE,C33,1,中集集团,Normal,XSHE,Active,CS,0000-00-00,1994-04-08,工业,ZJJT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,金属制品业,8.5,000039,深圳市南山蛇口工业区港湾大道2号中集研发中心8楼;香港德辅道中199号无限极广场3101-2室,广东省,
000040.XSHE,D44,1,ST旭蓝,ST,XSHE,Active,CS,0000-00-00,1994-08-08,公用事业,STXL,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,电力、热力生产和供应业,6.0,000040,深圳市罗湖区东门中路1011号鸿基大厦25-27楼,广东省,
000042.XSHE,K70,1,中洲控股,Normal,XSHE,Active,CS,0000-00-00,1994-09-21,房地产,ZZKG,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,10.8,000042,深圳市福田区金田路3088号中洲大厦38楼,广东省,
000043.XSHE,K70,1,中航善达,Other,XSHE,Delisted,CS,2019-12-16,1994-09-28,房地产,ZHSD,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产,5.5,000043,,,
000045.XSHE,C39,1,深纺织A,Normal,XSHE,Active,CS,0000-00-00,1994-08-15,信息技术,SFZA,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,3.9,000045,深圳市福田区华强北路3号深纺大厦A座六楼,广东省,
000046.XSHE,Unknown,1,*ST泛海,StarST,XSHE,Delisted,CS,2024-02-07,1994-09-12,未知,*STFH,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,6.3,000046,北京市东城区建国门内大街28号民生金融中心C座22层,北京市,
000047.XSHE,Unknown,1,ST中侨,ST,XSHE,Delisted,CS,2003-05-30,1994-10-21,未知,STZQ,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,4.05,000047,深圳市华侨城东部工业区东北A区3栋首层,广东省,
000048.XSHE,C13,1,京基智农,Normal,XSHE,Active,CS,0000-00-00,1994-11-01,必需消费品,JJZN,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,农副食品加工业,4.8,000048,深圳市罗湖区桂园街道老围社区蔡屋围京基一百大厦A座7101,广东省,
000049.XSHE,C38,1,德赛电池,Normal,XSHE,Active,CS,0000-00-00,1995-03-20,信息技术,DSDC,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,4.95,000049,深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,广东省,
000050.XSHE,C39,1,深天马A,Normal,XSHE,Active,CS,0000-00-00,1995-03-15,信息技术,STMA,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,4.5,000050,深圳市龙华区民治街道北站社区天马总部大厦,广东省,
000055.XSHE,C33,1,方大集团,Normal,XSHE,Active,CS,0000-00-00,1996-04-15,工业,FDJT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,金属制品业,5.18,000055,深圳市南山区龙珠四路2号方大城T1栋39层,广东省,
000056.XSHE,L72,1,皇庭国际,Normal,XSHE,Active,CS,0000-00-00,1996-07-08,房地产,HTGJ,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,商务服务业,4.78,000056,深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,广东省,
000058.XSHE,L72,1,深赛格,Normal,XSHE,Active,CS,0000-00-00,1996-12-26,房地产,SSG,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,商务服务业,6.8,000058,深圳市福田区华强北路群星广场A座三十一楼,广东省,
000059.XSHE,C25,1,华锦股份,Normal,XSHE,Active,CS,0000-00-00,1997-01-30,能源,HJGF,Energy,100.0,"09:31-11:30,13:01-15:00",MainBoard,石油加工、炼焦和核燃料加工业,5.38,000059,辽宁省盘锦市双台子区红旗大街,辽宁省,
000060.XSHE,C32,1,中金岭南,Normal,XSHE,Active,CS,0000-00-00,1997-01-23,原材料,ZJLN,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,有色金属冶炼和压延加工业,8.0,000060,深圳市福田区深南大道6013号中国有色大厦23-26楼,广东省,
000061.XSHE,L72,1,农产品,Normal,XSHE,Active,CS,0000-00-00,1997-01-10,工业,NCP,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,商务服务业,8.38,000061,深圳市福田区深南大道7028号时代科技大厦13楼,广东省,
000062.XSHE,F51,1,深圳华强,Normal,XSHE,Active,CS,0000-00-00,1997-01-30,工业,SZHQ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,11.4,000062,深圳市福田区梅林街道梅丰社区北环大道6018号华强科创广场1栋43层,广东省,
000063.XSHE,C39,1,中兴通讯,Normal,XSHE,Active,CS,0000-00-00,1997-11-18,信息技术,ZXTX,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,6.81,000063,深圳市南山区高新技术产业园科技南路中兴通讯大厦,广东省,
000065.XSHE,E48,1,北方国际,Normal,XSHE,Active,CS,0000-00-00,1998-06-05,工业,BFGJ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,土木工程建筑业,3.98,000065,北京市石景山区政达路6号院北方国际大厦,北京市,
000066.XSHE,C39,1,中国长城,Normal,XSHE,Active,CS,0000-00-00,1997-06-26,信息技术,ZGCC,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,6.58,000066,深圳市南山区科技园中电长城大厦,广东省,
000068.XSHE,M74,1,华控赛格,Normal,XSHE,Active,CS,0000-00-00,1997-06-11,工业,HKSG,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专业技术服务业,5.45,000068,深圳市福田区太平金融大厦29楼,广东省,
000069.XSHE,K70,1,华侨城A,Normal,XSHE,Active,CS,0000-00-00,1997-09-10,非必须消费品,HQCA,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,6.18,000069,广东省深圳市南山区华侨城办公楼,广东省,
000070.XSHE,C38,1,ST特信,ST,XSHE,Active,CS,0000-00-00,2000-05-11,信息技术,STTX,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,7.9,000070,深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,广东省,
000078.XSHE,F52,1,海王生物,Normal,XSHE,Active,CS,0000-00-00,1998-12-18,必需消费品,HWSW,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,5.36,000078,深圳市南山区科技中三路1号海王银河科技大厦24层,广东省,
000088.XSHE,G54,1,盐田港,Normal,XSHE,Active,CS,0000-00-00,1997-07-28,工业,YTG,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,道路运输业,5.31,000088,深圳市盐田区盐田港海港大厦十七层-十九层,广东省,
000089.XSHE,G56,1,深圳机场,Normal,XSHE,Active,CS,0000-00-00,1998-04-20,工业,SZJC,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,航空运输业,6.38,000089,深圳市宝安区宝安机场T3商务区配套写字楼A栋,广东省,
000090.XSHE,E48,1,天健集团,Normal,XSHE,Active,CS,0000-00-00,1999-07-21,工业,TJJT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,土木工程建筑业,8.0,000090,深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦16、17、18、19楼,广东省,
000096.XSHE,F51,1,广聚能源,Normal,XSHE,Active,CS,0000-00-00,2000-07-24,能源,GJNY,Energy,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,6.0,000096,深圳市南山区海德三道天利中央商务广场22楼,广东省,
000099.XSHE,G56,1,中信海直,Normal,XSHE,Active,CS,0000-00-00,2000-07-31,工业,ZXHZ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,航空运输业,10.2,000099,深圳市南山区南海大道3533号深圳直升机场,广东省,
000100.XSHE,C39,1,TCL科技,Normal,XSHE,Active,CS,0000-00-00,2004-01-30,非必须消费品,TCLKJ,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,4.26,000100,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,广东省,
000150.XSHE,Unknown,1,*ST宜康,StarST,XSHE,Delisted,CS,2023-06-09,2000-08-07,未知,*STYK,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,7.68,000150,广东省汕头市澄海区莱芜岭海工业区,广东省,
000151.XSHE,F51,1,中成股份,Normal,XSHE,Active,CS,0000-00-00,2000-09-06,工业,ZCGF,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,7.78,000151,北京市东城区安定门西滨河路9号,北京市,
000153.XSHE,C27,1,丰原药业,Normal,XSHE,Active,CS,0000-00-00,2000-09-20,医疗保健,FYYY,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,18.8,000153,安徽省合肥市包河区大连路16号,安徽省,
000155.XSHE,D44,1,川能动力,Normal,XSHE,Active,CS,0000-00-00,2000-09-26,公用事业,CNDL,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,电力、热力生产和供应业,6.18,000155,四川省成都市武侯区剑南大道中段716号2号楼16楼,四川省,
000156.XSHE,R86,1,华数传媒,Normal,XSHE,Active,CS,0000-00-00,2000-09-06,电信服务,HSCM,TelecommunicationServices,100.0,"09:31-11:30,13:01-15:00",MainBoard,广播、电视、电影和影视录音制作业,8.98,000156,浙江省杭州市滨江区长江路179号华数数字电视产业园B座9楼,浙江省,
000157.XSHE,C35,1,中联重科,Normal,XSHE,Active,CS,0000-00-00,2000-10-12,工业,ZLZK,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,12.74,000157,湖南省长沙市银盆南路361号,湖南省,
000158.XSHE,I65,1,常山北明,Normal,XSHE,Active,CS,0000-00-00,2000-07-24,非必须消费品,CSBM,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,6.18,000158,石家庄市长安区广安大街34号天利商务大厦九层,河北省,
000159.XSHE,F51,1,国际实业,Normal,XSHE,Active,CS,0000-00-00,2000-09-26,能源,GJSY,Energy,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,5.88,000159,新疆乌鲁木齐市新市区常州街189号国际实业三楼317号,新疆维吾尔自治区,
000166.XSHE,J67,1,申万宏源,Normal,XSHE,Active,CS,0000-00-00,2015-01-26,金融,SWHY,Financials,100.0,"09:31-11:30,13:01-15:00",MainBoard,资本市场服务,4.86,000166,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼;北京市西城区太平桥大街19号,新疆维吾尔自治区,
000301.XSHE,C28,1,东方盛虹,Normal,XSHE,Active,CS,0000-00-00,2000-05-29,公用事业,DFSH,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学纤维制造业,4.18,000301,江苏省苏州市吴江区盛泽镇登州路289号国家先进功能纤维创新中心研发大楼西楼,江苏省,
000333.XSHE,C38,1,美的集团,Normal,XSHE,Active,CS,0000-00-00,2013-09-18,非必须消费品,MDJT,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,44.56,000333,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,广东省,
000338.XSHE,C36,1,潍柴动力,Normal,XSHE,Active,CS,0000-00-00,2007-04-30,工业,WCDL,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,20.47,000338,山东省潍坊市高新技术产业开发区福寿东街197号甲,山东省,
000400.XSHE,C38,1,许继电气,Normal,XSHE,Active,CS,0000-00-00,1997-04-18,工业,XJDQ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,9.24,000400,河南省许昌市许继大道1298号,河南省,
000401.XSHE,C30,1,冀东水泥,Normal,XSHE,Active,CS,0000-00-00,1996-06-14,原材料,JDSN,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,非金属矿物制品业,5.38,000401,河北省唐山市丰润区林荫路233号,河北省,
000402.XSHE,K70,1,金融街,Normal,XSHE,Active,CS,0000-00-00,1996-06-26,房地产,JRJ,RealEstate,100.0,"09:31-11:30,13:01-15:00",MainBoard,房地产业,3.68,000402,北京市西城区金城坊街7号,北京市,
000403.XSHE,C27,1,派林生物,Normal,XSHE,Active,CS,0000-00-00,1996-06-28,医疗保健,PLSW,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,3.78,000403,上海市闵行区虹桥商务区申滨路168号丽宝广场TIB号楼3层,山西省,
000404.XSHE,C34,1,长虹华意,Normal,XSHE,Active,CS,0000-00-00,1996-06-19,工业,CHHY,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,通用设备制造业,4.08,000404,江西省景德镇市长虹大道1号(高新开发区内),江西省,
000405.XSHE,Unknown,1,ST鑫光,ST,XSHE,Delisted,CS,2004-03-19,1996-06-20,未知,STXG,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,3.6,000405,珠海市香洲区人民东路121号2000年酒店1710房,广东省,
000406.XSHE,Unknown,1,石油大明,Normal,XSHE,Delisted,CS,2006-04-21,1996-06-28,未知,SYDM,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,5.98,000406,山东省东营市济南路228号大明大厦,山东省,
000407.XSHE,D45,1,胜利股份,Normal,XSHE,Active,CS,0000-00-00,1996-07-03,公用事业,SLGF,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,燃气生产和供应业,6.0,000407,山东省济南市高新区港兴三路北段济南药谷1号楼B座31-33F,山东省,
000408.XSHE,C26,1,藏格矿业,Normal,XSHE,Active,CS,0000-00-00,1996-06-28,原材料,ZGKY,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,4.8,000408,青海省格尔木市昆仑南路15-2号;中国(四川)自由贸易试验区成都高新区天府大道北段1199号2栋19楼,青海省,
000409.XSHE,I65,1,云鼎科技,Normal,XSHE,Active,CS,0000-00-00,1996-06-27,信息技术,YDKJ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,5.68,000409,山东省济南市工业南路57-1号高新万达J3写字楼,山东省,
000410.XSHE,C34,1,沈阳机床,Normal,XSHE,Active,CS,0000-00-00,1996-07-18,工业,SYJC,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,通用设备制造业,4.16,000410,辽宁省沈阳市经济技术开发区开发大路17甲1号,辽宁省,
000411.XSHE,F51,1,英特集团,Normal,XSHE,Active,CS,0000-00-00,1996-07-16,必需消费品,YTJT,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,4.6,000411,杭州市滨江区江南大道96号中化大厦,浙江省,
000412.XSHE,Unknown,1,ST五环,ST,XSHE,Delisted,CS,2003-09-19,1996-07-15,未知,STWH,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,8.98,000412,吉林省长春市二道区惠工路1250号长春内陆港联检大楼811室,吉林省,
000413.XSHE,Unknown,1,ST旭电,ST,XSHE,Delisted,CS,2024-10-11,1996-09-25,未知,STXD,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,6.28,000413,石家庄高新区中山东路931号,河北省,
000415.XSHE,L71,1,渤海租赁,Normal,XSHE,Active,CS,0000-00-00,1996-07-16,工业,BHZL,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,租赁业,6.0,000415,新疆维吾尔自治区乌鲁木齐市新华北路165号广汇中天广场39楼,新疆维吾尔自治区,
000416.XSHE,Unknown,1,*ST民控,StarST,XSHE,Delisted,CS,2024-06-05,1996-07-19,未知,*STMK,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,5.35,000416,北京市东城区建国门内大街28号民生金融中心A15,山东省,
000417.XSHE,F52,1,合百集团,Normal,XSHE,Active,CS,0000-00-00,1996-08-12,非必须消费品,HBJT,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,5.8,000417,安徽省合肥市蜀山区黄山路596号,安徽省,
000418.XSHE,Unknown,1,小天鹅A,Normal,XSHE,Delisted,CS,2019-06-21,1997-03-28,未知,XTEA,Unknown,100.0,"09:31-11:30,13:01-15:00",MainBoard,未知,12.24,000418,江苏省无锡市新吴区长江南路18号,江苏省,
000419.XSHE,F52,1,通程控股,Normal,XSHE,Active,CS,0000-00-00,1996-08-16,非必须消费品,TCKG,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,6.08,000419,中国湖南长沙市劳动西路589号,湖南省,
000420.XSHE,C28,1,吉林化纤,Normal,XSHE,Active,CS,0000-00-00,1996-08-02,原材料,JLHX,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学纤维制造业,6.99,000420,吉林市经开区昆仑街216号,吉林省,
